id,speaker,year,date,role,filename,word_count,source,notes,transcription_status
adenauer_1949,adenauer,1949,1949-12-24,Bundeskanzler,1949_adenauer_weihnachtsansprache.txt,236,,,unverified
adenauer_1950,adenauer,1950,1950-12-24,Bundeskanzler,1950_adenauer_weihnachtsansprache.txt,1216,,,unverified
adenauer_1951,adenauer,1951,1951-12-24,Bundeskanzler,1951_adenauer_weihnachtsansprache.txt,1209,,,unverified
adenauer_1952,adenauer,1952,1952-12-24,Bundeskanzler,1952_adenauer_weihnachtsansprache.txt,1115,,,unverified
adenauer_1953,adenauer,1953,1953-12-24,Bundeskanzler,1953_adenauer_weihnachtsansprache.txt,975,,,unverified
adenauer_1954,adenauer,1954,1954-12-24,Bundeskanzler,1954_adenauer_weihnachtsansprache.txt,591,,,unverified
adenauer_1955,adenauer,1955,1955-12-24,Bundeskanzler,1955_adenauer_weihnachtsansprache.txt,808,,,unverified
adenauer_1956,adenauer,1956,1956-12-24,Bundeskanzler,1956_adenauer_weihnachtsansprache.txt,882,,,unverified
adenauer_1957,adenauer,1957,1957-12-24,Bundeskanzler,1957_adenauer_weihnachtsansprache.txt,399,,,unverified
adenauer_1958,adenauer,1958,1958-12-24,Bundeskanzler,1958_adenauer_weihnachtsansprache.txt,631,,,unverified
adenauer_1959,adenauer,1959,1959-12-24,Bundeskanzler,1959_adenauer_weihnachtsansprache.txt,714,,,unverified
adenauer_1960,adenauer,1960,1960-12-24,Bundeskanzler,1960_adenauer_weihnachtsansprache.txt,789,,,unverified
adenauer_1961,adenauer,1961,1961-12-24,Bundeskanzler,1961_adenauer_weihnachtsansprache.txt,1014,,,unverified
adenauer_1962,adenauer,1962,1962-12-24,Bundeskanzler,1962_adenauer_weihnachtsansprache.txt,474,,,unverified
